2012-08-03 12:18:12,634 
 INFO:AP Scan completed, and saved.
2012-08-03 12:18:55,363 
 INFO:AP Scan completed, and saved.
2012-08-03 12:19:04,680 
 INFO:AP Scan completed, and saved.
2012-08-03 12:20:11,666 
 INFO:AP Scan completed, and saved.
2012-08-03 12:23:05,716 
 INFO:AP Scan completed, and saved.
2012-08-03 12:28:24,551 
 INFO:AP Scan completed, and saved.
2012-08-03 12:28:33,981 
 INFO:AP Scan completed, and saved.
2012-08-03 12:29:21,018 
 INFO:AP Scan completed, and saved.
2012-08-03 12:32:53,278 
 INFO:AP Scan completed, and saved.
2012-08-03 12:33:49,104 
 INFO:AP Scan completed, and saved.
2012-08-03 12:34:00,080 
 INFO:AP Scan completed, and saved.
2012-08-03 12:34:29,493 
 INFO:AP Scan completed, and saved.
2012-08-03 12:36:20,182 
 INFO:AP Scan completed, and saved.
2012-08-03 12:37:08,722 
 INFO:AP Scan completed, and saved.
2012-08-03 12:38:42,008 
 INFO:AP Scan completed, and saved.
2012-08-03 12:39:05,572 
 INFO:AP Scan completed, and saved.
2012-08-03 12:54:11,448 
 INFO:AP Scan completed, and saved.
2012-08-03 13:01:56,678 
 INFO:AP Scan completed, and saved.
2012-08-03 13:02:20,006 
 INFO:AP Scan completed, and saved.
2012-08-03 13:02:54,097 
 INFO:AP Scan completed, and saved.
2012-08-03 13:03:08,777 
 INFO:AP Scan completed, and saved.
2012-08-03 13:03:17,965 
 INFO:AP Scan completed, and saved.
2012-08-03 13:03:53,159 
 INFO:AP Scan completed, and saved.
2012-08-03 13:04:55,812 
 INFO:AP Scan completed, and saved.
2012-08-03 15:00:57,004 
 INFO:AP Scan completed, and saved.
2012-08-03 15:04:42,319 
 INFO:AP Scan completed, and saved.
2012-08-03 15:08:58,143 
 INFO:AP Scan completed, and saved.
2012-08-03 15:09:44,365 
 INFO:AP Scan completed, and saved.
2012-08-03 15:09:55,780 
 INFO:AP Scan completed, and saved.
2012-08-03 15:10:55,492 
 INFO:AP Scan completed, and saved.
2012-08-03 15:12:27,380 
 INFO:AP Scan completed, and saved.
2012-08-03 15:13:32,022 
 INFO:AP Scan completed, and saved.
2012-08-03 15:18:14,632 
 INFO:AP Scan completed, and saved.
2012-08-03 15:19:35,993 
 INFO:AP Scan completed, and saved.
2012-08-03 15:21:07,959 
 INFO:AP Scan completed, and saved.
2012-08-03 15:21:36,746 
 INFO:AP Scan completed, and saved.
2012-08-03 15:22:19,137 
 INFO:AP Scan completed, and saved.
2012-08-03 15:23:04,377 
 INFO:AP Scan completed, and saved.
2012-08-03 15:25:33,402 
 INFO:AP Scan completed, and saved.
2012-08-03 15:26:01,679 
 INFO:AP Scan completed, and saved.
2012-08-03 15:42:29,349 
 INFO:AP Scan completed, and saved.
2012-08-03 15:42:49,990 
 INFO:AP Scan completed, and saved.
2012-08-03 15:43:42,990 
 INFO:AP Scan completed, and saved.
2012-08-03 15:52:25,791 
 INFO:AP Scan completed, and saved.
